fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"108",2022/03/21 20:35:00,2022/03/21 21:20:00,880,34.5,0,9,,"A long track tornado tracked from far southwestern Jack County, through the west side of Jacksboro, and into far southwestern Montague County. The tornado is believed to have begun near Halsell Ranch Rd and Barton Chapel Road where tree damage was observed. The first significant damage noted was on Kinder Mountain Road where the blades of 4 wind turbines were shredded, significant tree damage was observed, and damage to a home and storage barns was observed. The winds were likely EF2 strength in this location. The tornado continued to be tracked to the northeast by observing mostly minor house/roof damage and notable tree damage. As the tornado approached Jacksboro from the southwest it appeared to strengthen and widen. EF2 damage was observed to a secured manufactured home on ONeal Lane and also through the Synterra Estates neighborhood, just south of Highway 380 and west of FM 4. From here, the tornado moved into the western portions of Jacksboro where many homes sustained EF2 damage from Burwick Road all the way to the High School north of Highway 380. The tornado was approximately half a mile wide as it moved through this part of the city. Considerable roof damage and tree damage was observed in this area. Some walls on homes were impacted, and some structures that were not well secured collapsed. The tornado reached EF3 strength as it approached Wichita Avenue and the Jacksboro Elementary School. One well built home on Wichita Avenue suffered very significant roof damage along with other noted damage that indicated winds over 135 mph. From there, the tornado directly struck the elementary school where it ripped the roof off the gymnasium, causing one wall to collapse, bent flag poles to the ground, overturned cars, and more. Continuing to the northeast, the tornado moved through the high school campus, also ripping part of the roof off the high school, damaging the press box at the stadium, bending the field goal posts, bending a light pole to the ground, and more. This damage was determined to be EF2 in strength. Continuing on, the tornado was tracked all the way into far southwestern Montague County by mostly tree damage, damage to metal sheds and outhouses, minor to moderate damage to roofs, and collapsed high tension wire towers. Maximum estimated winds were in the 140-150 mph range. The total length of the tornado was 34.5 miles, accounting for the 0.53 miles the tornado tracked into Montague County (see separate entry). This tornado is a continuation from the EF3 tornado in Jack County. As the tornado crossed the county line into Montague County, it was already entering its dissipation stage. Only minor tree damage was observed.",3,135,NWS Storm Survey,TX,,,621045,"1013705, 1013711",Tornado,Supercell
"109",2022/03/21 21:31:00,2022/03/21 21:36:00,150,2.07,0,0,,"The tornado began on the north side of Lake Amon G. Carter along Hanging Tree Rd. where damage was found to multiple small barns and farm outbuildings, roof damage to several single family homes in the area, and tree damage resulting in snapped tree trunks and large broken limbs. A partially full water tank was transported from Hanging Tree Rd to Farm to Market Road 2583 as the storm continued east-northeast. As the tornado moved northeast of the lake to Timber Oaks Ct. it caused heavy damage to a farm outbuilding where the roof was lifted and multiple walls collapsed. The tornado is believed to have lifted after crossing Elgin Road. Maximum estimated winds were 95 mph.",1,95,NWS Storm Survey,TX,,,621046,"1013706",Tornado,QLCS
"110",2022/03/21 21:34:00,2022/03/21 21:39:00,440,5.19,0,3,,"The tornado began on the south side of Bowie along State Highway 101 where damage was found to multiple single family residences including one home that shifted off the foundation causing the walls and roof to collapse caused by wind speeds estimated between 105 to 110 mph. There were 3 injuries reported with damage in this area. As the tornado moved north-northeast along the eastern side of Bowie, many structures spanning from FM 3043 to just south of State Highway 59 and Haney Rd were damaged including several single family and manufactured homes where the roofs and walls were lifted and destroyed in places. Just before the tornado lifted, a manufactured home was destroyed with damage spanning 1/4 mile by this point in the path. Maximum estimated winds were 110 mph.",1,110,NWS Storm Survey,TX,,,621047,"1013708",Tornado,QLCS
"111",2022/03/21 21:47:00,2022/03/21 21:53:00,150,6.12,0,0,,"The tornado formed southeast of Paradise, near Wise County Road 4393. Damage to an outhouse and carport was noted along with a visual report of the tornado. As the tornado tracked northeast to Wise County Road 4287, it produced structural damage to multiple homes. The tornado tracked northeast approximately 5 miles, producing damage to several homes and outbuildings. The tornado ultimately moved over US 287 southeast of Decatur, damaging a large advertising sign along the highway and impacting a storage building near US 287 and FM 2264. The tornado apparently dissipated shortly after crossing US 287. Maximum estimated winds were 85 mph.",0,85,NWS Storm Survey,TX,,,621048,"1014162",Tornado,Supercell
"112",2022/03/21 21:54:00,2022/03/21 22:15:00,500,18.66,0,1,,"The tornado began northeast of the city of Montague near Nobile Rd and Fenoglio Rd. Tree damage was observed in this area. The tornado moved northeast, damaging the roof of a home and more trees on Aurelia School Road, and then caused significant damage to a home on Dixie School Road, rendering the house a total loss. The tornado wandered down Dixie School Road where substantial tree damage was observed. The tornado crossed Highway 82 to the east of Nocona. On Old Bonita Rd, a few sheds and small barns sustained damage along with damage to a number of large pecan trees across the area. As the tornado moved northeast it passed through a heavily wooded area with additional tree damage throughout before crossing Redbud Creek. As the tornado crossed FM 1956 a manufactured home in the path was separated from its undercarriage while a nearby single-family home sustained damage to its roof, several windows, and a small barn on the property. Tree damage extended through Saunders Rd to Cottonwood Creek Rd. The tornado tracked all the way to the Red River Bridge on FM 667, but no tree damage was observed on the Oklahoma side of the river. Maximum estimated winds were 110 mph.",1,110,NWS Storm Survey,TX,,,621049,"1014163",Tornado,QLCS
"113",2022/03/21 22:17:00,2022/03/21 22:32:00,50,6.8,0,0,20000,"A tornado developed just south of State Highway 32 between Courtney and Rubottom and moved northeast. Tree limb damage was noted along SH-32. A house and outbuilding received roof damage and power poles were damaged near the intersection of Kennedy Road and Rubottom Road about 3 miles north of Rubottom. Spotters and chasers later observed the tornado approaching State Highway 76 and Oswalt Road before it dissipated.
This storm also produced a number of tornadoes in north Texas prior to moving into Oklahoma (see Storm Data reports for North Central Texas from NWS Fort Worth), including a tornado that approached the Red River in Montague County Texas. A storm survey noted that no damage was observed in the tree line on the north side of the Red River, so this tornado in Love County OK is a separate tornado than the tornado in Montague County TX.",0,75,Emergency Manager,OK,,,621050,"1014852",Tornado,QLCS
"114",2022/03/21 22:17:00,2022/03/21 22:43:00,150,18.32,0,0,,"The tornado developed shortly after crossing into Cooke County, first touching down near FM 51 and CR 377 where a tree was uprooted, several large tree branches were snapped, and it knocked down half a concrete silo. Sporadic tree damage was noted along FM 51 leading into Era where damage occurred to a gas station awning. It continued northeast, strengthened and produced major damage to several roofs of homes, snapped trees, and flipped a horse trailer. It continued to move northeast along FM 51 where it destroyed a metal implement shed. As it moved toward Gainesville, it blew out 2 roll up doors and lifted the roof of a commercial building. The tornado then crossed I-35 near US-82 and ripped the aluminum roof off a cattle yard before lifting shortly after. Maximum estimated winds were 105 mph.",1,105,NWS Storm Survey,TX,,,621051,"1014164",Tornado,QLCS
"115",2022/03/21 22:31:00,2022/03/21 22:33:00,50,0.46,0,0,,"Damage survey, surveillance video, and CASA radar data confirm that a brief EF0 tornado passed across the Dutch Branch arm of Lake Benbrook at approximately 5:31 p.m. CDT on March 21, 2022. The tornado appeared to develop within the eastward surging outflow of an approaching line of thunderstorms. The tornado moved across a marina where a floating marina cover was lifted and thrown about 50 yards, being destroyed in the process. Several boats at the marina were also damaged. One tree on the shoreline was also damaged. Maximum estimated winds were 85 mph.",0,85,NWS Storm Survey,TX,,,621052,"1014165",Tornado,QLCS
"116",2022/03/21 22:37:00,2022/03/21 22:41:00,50,1.3,0,0,,"The tornado began along Inspiration Lane in River Oaks. It then moved northeast and produced widespread tree damage through a neighborhood just southwest of Jacksboro Highway. Some EF1 tornado damage was found on Hillside Drive and Circle Ridge Drive where multiple tree trunks were snapped and/or uprooted. As the tornado crossed Jacksboro Highway, additional EF0 damage was found between 18th Street and 22nd Street between Menefee Avenue and Long Avenue. Maximum estimated winds were 100 mph.",1,100,NWS Storm Survey,TX,,,621053,"1014166",Tornado,QLCS
"117",2022/03/21 22:48:00,2022/03/21 23:08:00,600,7.93,0,0,,"An NWS Storm Survey team determined a tornado caused EF-2 damage along a 7.5 mile track from 3 miles ESE of Kingsbury to 3 miles ESE of Fentress in Caldwell County. Maximum winds were estimated at 115 mph. The rotation in the storm began to tighten as the storm crossed I-10 at 4:47pm CST. Based on radar data the tornado began roughly a minute later. The tornado crossed Appling Rd. where it took off metal panels from two different barn structures including one barn that lost all of its metal roofing and possibly part of an exterior wall. The tornado next crossed Hwy 90 and moved almost parallel to Woodrow Center Rd. for about a mile and a half damaging several large trees and two houses. One house lost some roof shingles. The other sustained more significant damage to its roof. On the same property a large RV was moved about 100 feet from where it was parked and then destroyed when it hit a tree. An old wooden barn was pushed over and twisted. The tornado continued down Woodrow Center Rd. and across Gander Slough Rd. It moved back into an area of shrubs and trees with not many roads along the San Marcos River. Back along the river, a large grove of trees sustained damage with large trees snapped in the middle of the trunk, uprooted completely, or heavily damaged. As the storm began to cycle the tornado began to move northeast and then more north. Another grove of trees was heavily impacted before another house was hit along with a four person ATV being thrown. Two large trees, estimated over 300 years old, were snapped or fully uprooted. The tornado then crossed Hwy 80 before impacting one more house, damaging an old RV, and causing more tree damage. The tornado quickly fell apart to the northeast of Stairtown, and dissipated near FM 671.",2,115,NWS Storm Survey,TX,,,621054,"1011083, 1011084",Tornado,Supercell
